Year,Engine_Size,Mileage,Doors,Owner_Count,Price
2007.0,3.2,33948.0,5.0,4.0,9721
2010.0,4.8,224853.0,2.0,1.0,9402
2006.0,1.9,13435.0,3.0,5.0,8531
2019.0,1.7,199846.0,2.0,3.0,7503
2005.0,3.6,261.0,3.0,2.0,10694
2021.0,3.1,237836.0,3.0,4.0,8743
2023.0,3.0,264338.0,5.0,2.0,10713
2016.0,2.2,284193.0,2.0,4.0,7916
2015.0,1.0,95342.0,2.0,3.0,9693
2000.0,3.4,278310.0,5.0,3.0,2000
2000.0,3.8,257726.0,4.0,2.0,3745
2013.0,3.5,93273.0,2.0,4.0,10634
2008.0,3.9,137257.0,4.0,4.0,9654
2001.0,4.2,11815.0,3.0,4.0,11863
2008.0,1.7,274614.0,4.0,3.0,4207
2007.0,2.5,283885.0,4.0,3.0,4522
2015.0,2.3,158003.0,5.0,4.0,7739
2018.0,4.4,210532.0,5.0,2.0,10689
2010.0,4.3,51893.0,4.0,1.0,13862
2023.0,4.7,102316.0,4.0,1.0,14653
2005.0,1.5,84535.0,5.0,5.0,5409
2014.0,1.7,59813.0,5.0,3.0,9803
2011.0,3.1,41582.0,5.0,1.0,9668
2022.0,3.0,113682.0,4.0,1.0,12926
2001.0,1.7,24929.0,3.0,1.0,5601
2015.0,3.4,265204.0,2.0,5.0,7695
2000.0,1.8,161487.0,3.0,5.0,2670
2007.0,4.2,86876.0,3.0,3.0,10162
2019.0,2.5,21694.0,2.0,4.0,15366
2012.0,3.1,211305.0,3.0,3.0,10073
2008.0,3.9,282354.0,3.0,5.0,6752
2007.0,1.5,192279.0,5.0,2.0,5354
2012.0,2.9,267772.0,2.0,3.0,5244
2016.0,1.1,259759.0,4.0,3.0,6804
2006.0,3.9,102807.0,5.0,5.0,9243
2009.0,3.5,76449.0,4.0,2.0,10771
2019.0,4.5,187412.0,4.0,1.0,12551
2023.0,4.6,69109.0,3.0,5.0,15217
2011.0,2.3,275808.0,3.0,3.0,6183
2007.0,2.9,177432.0,4.0,1.0,7051
2021.0,4.2,263328.0,4.0,2.0,9333
2020.0,2.7,295220.0,2.0,3.0,10395
2018.0,1.5,116026.0,4.0,2.0,9679
2003.0,1.7,30019.0,4.0,3.0,6099
2002.0,1.6,125878.0,2.0,3.0,3782
2009.0,1.3,76365.0,5.0,4.0,6572
2009.0,1.7,235964.0,4.0,5.0,3780
2016.0,4.0,135623.0,2.0,4.0,12687
2013.0,3.7,281563.0,3.0,4.0,6068
2008.0,1.2,143247.0,2.0,2.0,6335
2008.0,3.9,172054.0,4.0,4.0,10458
2000.0,4.7,43400.0,5.0,2.0,9432
2002.0,2.6,24516.0,2.0,3.0,6809
2008.0,3.2,73503.0,5.0,4.0,9729
2008.0,2.2,55505.0,4.0,2.0,8589
2002.0,4.5,28572.0,5.0,2.0,9628
2011.0,3.3,68886.0,5.0,2.0,10822
2010.0,3.9,42902.0,3.0,5.0,12641
2010.0,3.1,206820.0,2.0,3.0,6063
2017.0,2.3,118731.0,2.0,4.0,9125
2020.0,2.3,13991.0,5.0,5.0,12120
2022.0,4.9,191411.0,5.0,3.0,11771
2009.0,3.8,188809.0,4.0,5.0,10323
2014.0,3.8,190083.0,3.0,3.0,8298
2019.0,3.0,186644.0,4.0,2.0,10567
2001.0,3.5,256586.0,2.0,5.0,4768
2004.0,1.8,9861.0,2.0,2.0,7902
2020.0,2.7,112323.0,4.0,2.0,10553
2016.0,3.9,72828.0,3.0,1.0,12343
2010.0,3.0,167567.0,4.0,5.0,10248
2015.0,4.0,161451.0,5.0,5.0,10370
2010.0,1.8,223845.0,2.0,3.0,5923
2023.0,1.2,157234.0,2.0,3.0,11055
2009.0,1.8,164435.0,4.0,1.0,7811
2006.0,2.7,103173.0,4.0,4.0,6536
2003.0,2.2,299227.0,3.0,5.0,2715
2002.0,3.7,99914.0,4.0,5.0,9901
2010.0,3.7,147961.0,3.0,2.0,7840
2017.0,3.7,128266.0,5.0,3.0,11334
2009.0,2.4,263797.0,2.0,5.0,3924
2007.0,3.9,213643.0,4.0,5.0,9327
2010.0,1.8,207513.0,2.0,3.0,6749
2022.0,3.0,1140.0,5.0,5.0,16177
2007.0,1.5,138200.0,3.0,1.0,6936
2005.0,1.5,42171.0,3.0,4.0,8256
2001.0,1.6,209694.0,5.0,5.0,2000
2005.0,2.8,234312.0,5.0,3.0,5713
2016.0,2.0,234734.0,4.0,4.0,6205
2022.0,1.3,32421.0,4.0,1.0,11351
2022.0,4.5,78604.0,5.0,3.0,13627
2012.0,1.7,215694.0,2.0,5.0,5086
2015.0,4.3,147409.0,3.0,1.0,11951
2006.0,1.0,292875.0,3.0,3.0,2542
2009.0,4.6,129335.0,3.0,1.0,10313
2019.0,4.2,253093.0,5.0,4.0,10938
2007.0,3.9,187853.0,5.0,2.0,8342
2018.0,3.7,181383.0,4.0,3.0,11572
2014.0,4.7,85892.0,5.0,2.0,11282
2016.0,4.4,131640.0,3.0,1.0,10667
2009.0,2.3,229415.0,4.0,1.0,5511
2013.0,3.0,93855.0,2.0,5.0,11122
2008.0,4.7,115077.0,3.0,2.0,8898
2020.0,3.6,135042.0,4.0,4.0,10999
2000.0,3.8,18836.0,4.0,4.0,9023
2008.0,4.8,190302.0,5.0,1.0,9493
2021.0,3.7,107030.0,3.0,5.0,12959
2011.0,2.1,81075.0,2.0,2.0,7878
2004.0,3.5,284771.0,4.0,3.0,5104
2018.0,2.0,214831.0,3.0,1.0,8703
2017.0,1.5,257638.0,3.0,2.0,5547
2003.0,2.8,176448.0,5.0,5.0,5771
2014.0,1.8,106052.0,3.0,4.0,9478
2018.0,2.3,99243.0,3.0,3.0,11815
2009.0,3.3,72733.0,2.0,3.0,8645
2000.0,1.9,36648.0,5.0,3.0,7767
2015.0,1.8,89738.0,2.0,3.0,8605
2008.0,4.0,13396.0,3.0,5.0,11232
2014.0,2.9,1197.0,2.0,5.0,12676
2008.0,3.0,63631.0,5.0,5.0,8227
2012.0,3.7,74879.0,2.0,5.0,13402
2010.0,1.6,282744.0,3.0,2.0,5545
2004.0,2.8,27807.0,3.0,4.0,9543
2020.0,3.9,229197.0,4.0,3.0,10416
